"phylum","species","accession","nreads","habitat","Adenoviridae","Adintoviridae","Alloherpesviridae","Amalgaviridae","Arenaviridae","Ascoviridae","Asfarviridae","Astroviridae","Baculoviridae","Betaflexiviridae","Bromoviridae","Caliciviridae","Caulimoviridae","Chuviridae","Circoviridae","Coronaviridae","Cystoviridae","Deltaflexiviridae","Dicistroviridae","Endornaviridae","Flaviviridae","Gammaflexiviridae","Geminiviridae","Hepadnaviridae","Hepeviridae","Herpesviridae","Hypoviridae","Hytrosaviridae","Iflaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Leviviridae","Lispiviridae","Luteoviridae","Malacoherpesviridae","Marnaviridae","Marseilleviridae","Mesoniviridae","Metaviridae","Mimiviridae","Mitoviridae","Mymonaviridae","Nairoviridae","Narnaviridae","Nimaviridae","Nodaviridae","Nudiviridae","Orthomyxoviridae","Papillomaviridae","Paramyxoviridae","Partitiviridae","Parvoviridae","Phasmaviridae","Phenuiviridae","Phycodnaviridae","Picornaviridae","Pithoviridae","Podoviridae","Polycipiviridae","Polydnaviridae","Polyomaviridae","Potyviridae","Poxviridae","Reoviridae","Retroviridae","Rhabdoviridae","Schitoviridae","Secoviridae","Solemoviridae","Solinviviridae","Tobaniviridae","Tombusviridae","Totiviridae","Unclassified","Virgaviridae","Xinmoviridae"
"CNIDARIA","Exaiptasia_diaphana","SRR6202199",8054061,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202200",7190067,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202201",6399136,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202202",8089890,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202203",8713242,"Marine",1,0,1,0,0,13,0,0,132,0,0,0,0,0,0,0,0,0,0,0,645,0,0,0,1346,3,0,0,0,0,10,0,0,0,0,0,0,300,0,0,3375,31377,0,17,0,3,0,14,0,0,0,52,0,0,0,155,1,57,0,0,214,0,1,508,66978,11804,0,0,0,0,0,0,0,0,4097,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202204",10593615,"Marine",1,0,0,0,0,6,0,0,165,0,0,0,0,0,0,0,0,0,0,0,795,0,0,0,1636,3,0,0,0,0,19,0,0,0,1,0,0,351,0,0,4078,37785,0,25,0,1,0,18,0,0,0,49,0,0,0,179,1,79,0,0,264,0,1,620,81653,14376,0,0,0,0,0,0,0,0,5089,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202205",8902549,"Marine",0,2,0,0,0,11,0,0,79,0,0,0,0,0,0,0,0,0,0,0,774,0,0,0,919,5,0,0,0,0,15,0,0,0,0,0,0,346,0,0,3535,31287,0,18,0,1,0,14,0,0,0,76,0,0,0,239,1,80,0,0,242,0,3,334,58081,16435,0,0,0,0,0,0,0,0,4425,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202206",10432117,"Marine",0,1,1,0,0,7,0,0,113,0,0,0,2,0,0,0,0,0,0,0,898,0,0,0,1078,5,0,0,0,0,9,0,0,0,0,0,0,447,0,0,4094,37332,0,20,0,1,0,13,0,0,0,60,0,0,0,268,3,95,0,0,270,0,2,364,68655,19296,0,0,0,0,0,0,0,0,5325,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202207",10359539,"Marine",0,0,0,0,0,10,0,0,116,0,0,0,1,0,0,0,0,0,0,0,939,0,0,0,1028,4,0,0,0,0,16,0,0,0,0,0,0,476,0,0,4190,37306,0,18,0,3,0,15,0,0,0,82,0,0,0,239,3,93,0,0,273,0,2,381,67311,19350,0,0,0,0,0,0,0,0,5096,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202208",10412516,"Marine",0,2,1,0,0,9,0,0,109,0,0,0,2,0,0,0,0,0,0,0,906,0,0,0,1014,3,0,0,0,0,22,0,0,0,0,0,0,454,0,0,4163,37674,0,18,0,2,0,20,0,0,0,86,0,0,0,293,1,94,0,0,267,0,4,395,69208,19432,0,0,0,0,0,0,0,0,5210,0,0
