"length","fdr"
533,0.258556461045757
336,0.618340576454327
2015,0.192165686867259
359,0.405363361041163
727,0.186277453514583
248,0.137461695435616
341,0.137962185781697
202,0.32758548245841
4600,0.182790196582899
833,0.142443386662912
703,0.365175554420747
249,0.577961303097599
378,0.259929129325261
480,0.168058969029628
483,0.109533468250256
9159,0.115132497429004
1284,0.236043421418239
245,0.0107210410707059
1049,0.0836371284346447
305,0.151626163387152
2779,0.137900480491851
397,0.116224168840005
670,0.103647258587946
269,0.0718464722494243
201,0.443633852036027
411,0.0695843857541793
1925,0.20644937901442
287,0.0560512380788501
820,0.282946028394498
251,0.141402359104008
1644,0.362887835889919
1275,0.243647455323918
1559,0.305278404945315
504,0.710095054590857
500,0.0919603577250591
318,0.0140459903473376
422,0.12850575226874
257,0.476693620703767
522,0.327058990486028
1132,0.0468224891650537
397,0.249319564091717
254,0.171938944988338
228,0.542297202042109
1730,0.221060697145226
291,0.366400431380991
212,0.3912149210175
319,0.666995949560493
546,0.178456860710256
896,0.251330433602212
1020,0.146371797047083
624,0.12529678432729
545,0.305133527162758
2664,0.255666257291758
1398,0.0421680213855317
290,0.0187871139157787
666,0.17247503523753
1599,0.474274664433553
265,0.584735541253578
596,0.232601064785482
317,0.0392293814779887
5097,0.0960126149454085
4135,0.0510737532687989
3429,0.0341882541958671
749,0.672720013181223
1295,0.0450698275302534
237,0.263140874819973
631,0.171068468069152
1207,0.214731829691725
2472,0.105557583541991
227,0.123324467718127
293,0.176026232907204
542,0.161613016475234
337,0.431051623543477
220,0.560529043993827
656,0.00493930304040292
357,0.336732946749881
393,0.134172993836109
244,0.0447122616288864
1619,0.138932573798851
3122,0.178281282699965
202,0.12819773545526
558,0.250527737484528
958,0.0218821358796476
285,0.0996677040324157
1416,0.0295697169480519
1445,0.236018660689982
468,0.397115812324576
1294,0.135087911757228
841,0.279168096790487
363,0.090041166574841
2891,0.196843705540142
4821,0.203346280477445
208,0.299543708357583
234,0.125257459705514
887,0.179825847425187
1784,0.115829872730278
1492,0.295219493780012
471,0.301494400424367
207,0.590716513294966
843,0.131168027574481
530,0.212545820077744
