run	phyl	species	Trimmomatic (min)	clumpify (min)	sortmerna (min)	trinity	diamond	kallisto	kaiju	descarga (estan movidos, no corresponden a la accession, pero sirve para distribucion)
SRR13614435	Onychophora	Peripatus juanensis	6	5,5	157,5	308,5	91	329	4,5	5
SRR13614434	Onychophora	Peripatus solorzanoi	10	3,5	194	667	118,5	418	6,5	7
SRR13614437	Onychophora	Peripatus sp.	6	2	160,5	303,5	95	461	4,5	4
SRR14868533	Onychophora	Principapillatus hitoyensis	5,5	1,5	62,5	208	69	4	3,5	4
SRR5031247	Orthonectida	Intoshia linei	3	1	18,5	142	51	2	2	NA
SRR5811960	Phoronida	Phoronis australis	16,5	4	116	612	220	11	16	7
SRR1611565	Phoronida	Phoronis psammophila	5,5	2	59,5	237	100,5	6	3,5	8
SRR1611566	Phoronida	Phoronis vancouverensis	6	3	81,5	301	109,5	7	4	5
SRR2131255	Phoronida	Phoronopsis harmeri	8,5	2,5	57,5	470	134,5	7	4,5	6
SRR5311041	Placozoa	Hoilungia hongkongensis	15	5,5	118	389	146	15	16,5	NA
SRR8674649	Placozoa	Trichoplax adhaerens	2,5	2	33,5	111,5	62,5	3	3	NA
SRR5819939	Placozoa	Trichoplax sp.	6,5	2	45	133	72	3	4	NA
SRR9670664	Priapulida	Meiopriapulus fijiensis	6,5	2	74,5	143,5	56	5	10,5	NA
SRR1611567	Priapulida	Priapulus sp.	2	2,5	57,5	54	74,5	1	2	NA
SRR2131688	Priapulida	Tubiluchus corallicola	0,5	2	23,5	77	54,5	1	0,5	NA
SRR7962072	Rotifera	Adineta vaga	12,5	4,5	81	266	87	6	9,5	NA
SRR12686548	Rotifera	Brachionus angularis	3	2	23,5	88	43,5	2	3,5	5
SRR10426064	Rotifera	Brachionus calyciflorus	8	4	48	123	54	5	7,5	5
SRR10426062	Rotifera	Brachionus fernandoi	10	5	63,5	171,5	66	5	9,5	6
SRR5197741	Rotifera	Brachionus manjavacas	3	1,5	82	89	43	2	2	5
SRR13452041	Rotifera	Brachionus paranguensis	10	7,5	61	210	62,5	6	12	6
SRR15184123	Rotifera	Brachionus plicatilis	2,5	2,5	29	180	53,5	3	4	9
SRR11747658	Rotifera	Brachionus rotundiformis	9	12	232	27	187,5	5	5	13
SRR1976570	Rotifera	Lepadella patella	0,5	3	27	27,5	31,5	1	0,5	10
SRR2429147	Rotifera	Rotaria magnacalcarata	7,5	3	78	122	42	3	5	4
ERR454505	Rotifera	Rotaria rotatoria	9	6	80	55	43,5	4	6,5	8
